"","standardised_banerjee_profit","banerjee_treatment"
"1532",-21.3214450304777,0
"1533",-74.3650399843492,0
"1534",13.2175624680807,0
"1535",36.8358298290774,0
"1536",3.55357417174629,0
"1537",645.710428768533,0
"1538",0,0
"1539",-78.0052866968698,0
"1540",0,0
"1541",0,0
"1542",-43.3362703871499,0
"1543",0,0
"1544",3.72691925329489,0
"1545",0,0
"1546",0,0
"1547",0,0
"1548",0,0
"1549",0,0
"1550",0,0
"1551",0,0
"1552",0,0
"1553",0,0
"1554",0,0
"1555",0,0
"1556",0,0
"1557",0,0
"1558",0,0
"1559",0,0
"1560",0,0
"1561",0,0
"1562",0,0
"1563",0,0
"1564",0,0
"1565",0,0
"1566",0,0
"1567",0,0
"1568",0,0
"1569",0,0
"1570",0,0
"1571",0,0
"1572",0,0
"1573",0,0
"1574",0,0
"1575",0,0
"1576",0,0
"1577",0,0
"1578",0,0
"1579",0,0
"1580",0,0
"1581",0,0
"1582",0,0
"1583",0,0
"1584",0,0
"1585",0,0
"1586",0,0
"1587",0,0
"1588",0,0
"1589",0,0
"1590",0,0
"1591",0,0
"1592",0,0
"1593",8.60224967184925,1
"1594",329.355654942339,1
"1595",0,1
"1596",33.3689281981054,1
"1597",1.64677827471169,1
"1598",0,1
"1599",108.340675967875,1
"1600",125.675184122735,1
"1601",12.0041468972405,1
"1602",0,1
"1603",95.3397948517297,1
"1604",17.3345081548599,1
"1605",195.013216742174,1
"1606",0,1
"1607",12.7841997642092,1
"1608",56.3371515032948,1
"1609",265.217974769357,1
"1610",65.0044055807248,1
